name,resX,resY,widthM,heightM,depthM,power,weightKg,bendAngleMinDeg,bendAngleMaxDeg,frameHeightMinM,frameHeightMaxM,frameWeightKg  0.5m,frameWeightKg 1m,truss30_2mKg,trussF45_2mKg,steelflex1mKg,steelflex2mKg,shackleKg
P1 LEDTITGO,256,256,0.5,0.5,0.1,170,12.5,Nesilenkia,Nesilenkia,Neturi,Neturi,4,7.2,6.6,28.44,1.1,1.8,0.6
P2 Curved,192,192,0.5,0.5,0.77,150,6.7,-22.5,22.5,0.105,0.15,4.1,-,6.6,28.44,1.1,1.8,0.6
P2 XR,192,192,0.5,0.5,0.071,150,6.3,-10;-5,+5;+2.5,0.11,0.15,3.8,-,6.6,28.44,1.1,1.8,0.6
P2 YESTECH,192,192,0.5,0.5,0.073,145,6.7,-15,10,0.1,0.2,2.2,4.2,6.6,28.44,1.1,1.8,0.6
P3 INFI G1,128,256,0.5,1,0.0752,340,13.4,-10,10,0.13,0.17,4.8,8.1,6.6,28.44,1.1,1.8,0.6
P3 INFI G2,128,128,0.5,0.5,0.0752,170,8.1,-10,10,0.13,0.17,4.8,8.1,6.6,28.44,1.1,1.8,0.6
P3 (500x500),128,128,0.5,0.5,0.095,200,10,-10,10,0.1,0.125,4.7,-,6.6,28.44,1.1,1.8,0.6
P3 (500x1000),128,256,0.5,1,0.095,300,14,-10,10,0.1,0.125,4.7,-,6.6,28.44,1.1,1.8,0.6
P3 SPECTRUM,128,128,0.5,0.5,0.077,235,9,Nesilenkia,Nesilenkia,0.16,0.19,3.7,6.7,6.6,28.44,1.1,1.8,0.6
P4 YESTECH,104,104,0.5,0.5,0.073,150,6.5,-15,10,0.1,0.2,2.2,4.2,6.6,28.44,1.1,1.8,0.6
P4 SPECTRUM,104,104,0.5,0.5,0.077,235,9,Nesilenkia,Nesilenkia,0.16,0.19,3.7,6.7,6.6,28.44,1.1,1.8,0.6
P5 YESTECH,84,84,0.5,0.5,0.073,210,7,-15,10,0.1,0.2,2.2,4.2,6.6,28.44,1.1,1.8,0.6
P7 ROE,80,80,0.6,0.6,0.0825,200,7.95,Nesilenkia,Nesilenkia,0.07,0.07,3.4,-,6.6,28.44,1.1,1.8,0.6
Transparent(1000x500),256,64,1,0.5,0.8,210,6.5,-15,15,0.115,0.15,-,5.5,6.6,28.44,1.1,1.8,0.6
Transparent(500x500),128,64,0.5,0.5,0.8,100,4.6,15,15,0.115,0.15,2.7,-,6.6,28.44,1.1,1.8,0.6
